,source,total_1987,target,change_87_98
1,Palm,7056.09,Palm,1840.68
2,Palm,7056.09,Mangrove,17.28
3,Palm,7056.09,Water,35.01
4,Palm,7056.09,Grassland,1967.67
5,Palm,7056.09,Exposed Soil/Urban,32.31
6,Palm,7056.09,Forest,2757.51
7,Palm,7056.09,Wetland,323.1
8,Palm,7056.09,Teak/Melina,76.23
9,Mangrove,14757.39,Palm,3.24
10,Mangrove,14757.39,Mangrove,11983.14
11,Mangrove,14757.39,Water,325.17
12,Mangrove,14757.39,Grassland,87.93
13,Mangrove,14757.39,Exposed Soil/Urban,16.47
14,Mangrove,14757.39,Forest,1996.02
15,Mangrove,14757.39,Wetland,344.43
16,Mangrove,14757.39,Teak/Melina,0.99
17,Water,11617.56,Palm,8.82
18,Water,11617.56,Mangrove,593.55
19,Water,11617.56,Water,10404.36
20,Water,11617.56,Grassland,156.42
21,Water,11617.56,Exposed Soil/Urban,207
22,Water,11617.56,Forest,187.56
23,Water,11617.56,Wetland,59.76
24,Water,11617.56,Teak/Melina,0.09
25,Grassland,48069.72,Palm,4952.07
26,Grassland,48069.72,Mangrove,109.26
27,Grassland,48069.72,Water,290.34
28,Grassland,48069.72,Grassland,26242.56
29,Grassland,48069.72,Exposed Soil/Urban,1606.05
30,Grassland,48069.72,Forest,13328.01
31,Grassland,48069.72,Wetland,814.23
32,Grassland,48069.72,Teak/Melina,727.2
33,Exposed Soil/Urban,25976.07,Palm,1532.43
34,Exposed Soil/Urban,25976.07,Mangrove,117.18
35,Exposed Soil/Urban,25976.07,Water,439.47
36,Exposed Soil/Urban,25976.07,Grassland,12648.87
37,Exposed Soil/Urban,25976.07,Exposed Soil/Urban,1663.65
38,Exposed Soil/Urban,25976.07,Forest,8809.29
39,Exposed Soil/Urban,25976.07,Wetland,586.8
40,Exposed Soil/Urban,25976.07,Teak/Melina,178.38
41,Forest,169923.24,Palm,2368.44
42,Forest,169923.24,Mangrove,1559.7
43,Forest,169923.24,Water,159.48
44,Forest,169923.24,Grassland,7868.7
45,Forest,169923.24,Exposed Soil/Urban,267.93
46,Forest,169923.24,Forest,151609.68
47,Forest,169923.24,Wetland,5202.27
48,Forest,169923.24,Teak/Melina,887.04
49,Wetland,6327.27,Palm,33.93
50,Wetland,6327.27,Mangrove,686.25
51,Wetland,6327.27,Water,177.93
52,Wetland,6327.27,Grassland,343.53
53,Wetland,6327.27,Exposed Soil/Urban,81.54
54,Wetland,6327.27,Forest,762.93
55,Wetland,6327.27,Wetland,4240.26
56,Wetland,6327.27,Teak/Melina,0.9
57,Teak/Melina,70.2,Palm,3.06
58,Teak/Melina,70.2,Mangrove,0.18
59,Teak/Melina,70.2,Water,0
60,Teak/Melina,70.2,Grassland,30.15
61,Teak/Melina,70.2,Exposed Soil/Urban,0.99
62,Teak/Melina,70.2,Forest,32.94
63,Teak/Melina,70.2,Wetland,1.17
64,Teak/Melina,70.2,Teak/Melina,1.71